Sampling Rate : 128HZ,Duration : 10 Minutes
Time,PPG
6.7578125,-75313.23438
6.765625,-75303.46875
6.7734375,-75288.80469
6.78125,-75271.5
6.7890625,-75254.22656
6.796875,-75241.57813
6.8046875,-75235.38281
6.8125,-75236.47656
6.8203125,-75244.4375
6.828125,-75256.03125
6.8359375,-75269.625
6.84375,-75282.30469
6.8515625,-75292.10938
6.859375,-75298.96875
6.8671875,-75303.00781
6.875,-75305.76563
6.8828125,-75308.16406
6.890625,-75310.36719
6.8984375,-75312.125
6.90625,-75312.17188
6.9140625,-75310.32031
6.921875,-75307.27344
6.9296875,-75303.22656
6.9375,-75300.1875
6.9453125,-75297.97656
6.953125,-75296.20313
6.9609375,-75294.3125
6.96875,-75290.39063
6.9765625,-75285.46875
6.984375,-75280.40625
6.9921875,-75277.17969
7,-75278.66406
7.0078125,-75285.82813
7.015625,-75298.61719
7.0234375,-75314.71875
7.03125,-75330.63281
7.0390625,-75343.61719
7.046875,-75352.29688
7.0546875,-75358.33594
7.0625,-75364.99219
7.0703125,-75374.03125
7.078125,-75387.14844
7.0859375,-75401.92969
7.09375,-75415.57813
7.1015625,-75426.38281
7.109375,-75433.52344
7.1171875,-75440.39063
7.125,-75449.875
7.1328125,-75463.70313
7.140625,-75481.80469
7.1484375,-75500.86719
7.15625,-75517.78906
7.1640625,-75530.44531
7.171875,-75539.34375
7.1796875,-75547.82813
7.1875,-75559.21875
7.1953125,-75576.04688
7.203125,-75597.96094
7.2109375,-75620.71875
7.21875,-75640.89844
7.2265625,-75654.96875
7.234375,-75663.3125
7.2421875,-75669.53125
7.25,-75676.58594
7.2578125,-75687.76563
7.265625,-75701.89844
7.2734375,-75715.625
7.28125,-75726.25781
7.2890625,-75732.35156
7.296875,-75735.89844
7.3046875,-75739.60156
7.3125,-75744.6875
7.3203125,-75749.625
7.328125,-75749.60156
7.3359375,-75739.90625
7.34375,-75718.08594
7.3515625,-75683.85938
7.359375,-75641.20313
7.3671875,-75593.03125
7.375,-75541.78906
7.3828125,-75488.52344
7.390625,-75432.04688
7.3984375,-75373.51563
7.40625,-75313.67188
7.4140625,-75253.96875
7.421875,-75196.1875
7.4296875,-75140.35938
7.4375,-75086.375
7.4453125,-75033.5
7.453125,-74981.10156
7.4609375,-74929.42969
7.46875,-74878.5
7.4765625,-74829.5
7.484375,-74784.10156
7.4921875,-74742.96875
7.5,-74707.46094
7.5078125,-74676.82031
7.515625,-74647.89063
7.5234375,-74617.41406
7.53125,-74582.125
7.5390625,-74543.83594
7.546875,-74506.59375
7.5546875,-74476.0625
7.5625,-74457.07031
7.5703125,-74449.5625
7.578125,-74450.08594
7.5859375,-74452.67188
7.59375,-74452.19531
7.6015625,-74447.11719
7.609375,-74438.42188
7.6171875,-74429.32813
7.625,-74422.73438
7.6328125,-74418.8125
7.640625,-74417.96094
7.6484375,-74418.48438
7.65625,-74419.71875
7.6640625,-74422.02344
7.671875,-74424.61719
7.6796875,-74428.625
7.6875,-74433.32813
7.6953125,-74437.92969
7.703125,-74442.27344
7.7109375,-74445.50781
7.71875,-74447.85938
7.7265625,-74449.11719
7.734375,-74449.02344
7.7421875,-74448.01563
7.75,-74446.17969
7.7578125,-74444.9375
7.765625,-74445.88281
7.7734375,-74448.98438
7.78125,-74454.63281
7.7890625,-74460.23438
7.796875,-74463.28906
7.8046875,-74462.49219
7.8125,-74457.28906
7.8203125,-74451.39063
7.828125,-74448.36719
7.8359375,-74450.85156
7.84375,-74459.51563
7.8515625,-74471.15625
7.859375,-74481.82813
7.8671875,-74488.22656
7.875,-74489.75781
7.8828125,-74489.55469
7.890625,-74491.60156
7.8984375,-74499.57813
7.90625,-74514.24219
7.9140625,-74531.88281
7.921875,-74548.88281
7.9296875,-74561.00781
7.9375,-74567.4375
7.9453125,-74570.85938
7.953125,-74574.125
7.9609375,-74581.46875
7.96875,-74593.85156
7.9765625,-74610.24219
7.984375,-74629.38281
7.9921875,-74649.25781
8,-74669.13281
8.0078125,-74687.98438
8.015625,-74704.15625
8.0234375,-74716.0625
8.03125,-74722.10156
